Item,percent_uk,totalUse,importWorld,importEU,importNonEU,production,percent_EU_imports,exports,deficit_after_brexit,leftAfterBrexit
"Whey, dry",295.6561291789857,21985,23907,23872,35,65e3,99.85359936420295,66919,43050,2.95815328633159
Linseed,211.97213521978617,18518,11286,8975,2311,39253,79.52330320751373,32020,23046,2.244518846527703
"Broad beans, horse beans, dry",178.2336281812539,154656,356,99,257,275649,27.808988764044944,121350,121250,1.7839980343471964
Tallow,175.8048973338934,80942,13500,13436,64,142300,99.52592592592593,74857,61422,1.7588396629685454
"Whey, condensed",162.7150162715016,2151,20,9,11,3500,45,1370,1360,1.6322640632264063
"Meat, horse",152.531328320802,1995,10,10,0,3043,100,1058,1048,1.52531328320802
"Meat, sheep",103.72938465501278,287286,90245,9117,81128,298e3,10.102498753393538,100958,91842,1.319688394143815
"Oil, rapeseed",123.88146010814292,670964,105564,104403,1161,831200,98.90019324769807,265799,161397,1.2405449472698982
"Milk, skimmed dried",118.70599768291596,56105,33797,33795,2,66600,99.99408231499838,44292,10497,1.1870956242759112
Cream fresh,117.93148180906894,33918,27346,27345,1,4e4,99.9963431580487,33429,6083,1.1793443009611415
Barley,117.68566399252916,5872423,91914,91888,26,6911e3,99.97171268794743,1130490,1038603,1.176861067399266
Rapeseed,113.18246179318368,2173107,84165,74201,9964,2459576,88.16134972969762,370632,296433,1.136409758010075
"Peas, dry",96.5280082048807,132604,35371,13561,21810,128e3,38.33931752000226,30765,17206,1.1297547585291545
"Meat, turkey",106.20037293619333,161958,31833,29723,2110,172e3,93.37165834197216,41874,12152,1.075031798367478
Oats,104.65653521820649,783501,29341,29335,6,819985,99.97955079922292,65824,36490,1.0465730101174089
"Milk, whole fresh cow",103.10141383893627,14597278,148598,148594,4,1505e4,99.99730817373047,601319,452726,1.031014412413054
Hops,27.17161016949153,1888,2484,1060,1424,513,42.673107890499196,1110,49,1.0259533898305084
"Peas, green",95.41996050360864,168623,12620,669,11951,160900,5.301109350237717,4896,4228,1.0250736850844784
"Meat, nes",101.18421052631578,2280,574,558,16,2307,97.21254355400697,602,43,1.018859649122807
Carrots and turnips,101.22212759108619,745585,23806,19194,4612,754697,80.62673275644795,32919,13724,1.0184070226734712
Potatoes,100.57621613252034,5877135,237363,184571,52792,5911e3,77.75895990529274,271228,86657,1.01474476934765
Triticale,99.96795192789185,49925,27,27,0,49909,100,11,-16,0.9996795192789184
